ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7,215,31359,7,337,477,12,54,4,0
12,183,4112,7,399,475,11,69,3,0
6,179,23129,6,327,372,13,42,3,0
8,172,13529,7,377,455,7,,3,0
7,210,31562,9,,559,13,74,3,0
8,201,20526,6,299,304,15,72,3,0
6,203,19232,9,,371,8,77,3,0
8,170,6626,5,373,316,23,74,4,0
8,228,17995,7,323,460,14,16,4,0
5,174,14786,6,268,620,8,39,3,0
8,182,10674,7,,428,14,78,3,0
5,180,26215,6,303,370,15,83,4,0
6,163,16906,5,283,398,17,82,3,0
6,205,16616,6,316,342,15,73,3,0
6,242,31871,7,203,496,23,71,6,0
7,200,15201,5,,306,15,91,3,0
6,228,29343,7,,398,16,92,4,0
8,200,25413,7,314,412,12,60,4,0
,194,11276,7,399,428,15,34,3,0
9,218,23774,6,325,413,13,64,5,0
6,190,22035,7,,354,12,67,3,0
8,226,15678,6,314,636,11,72,4,0
7,210,22802,6,,474,14,64,4,0
6,174,25456,6,,482,14,71,4,0
6,203,27245,7,,361,11,69,6,0
8,212,15938,7,386,392,10,40,5,0
7,211,23707,7,,485,18,53,4,0
5,199,24767,8,353,513,20,44,5,0
7,204,23748,7,342,456,16,64,4,0
10,176,4466,6,371,406,14,57,4,0
4,170,15040,6,353,424,14,79,4,0
7,167,18852,8,,294,13,54,4,0
7,181,17503,7,,181,12,72,4,0
7,206,19207,7,283,459,18,51,3,0
6,185,22159,6,348,449,13,66,3,0
8,199,16772,8,343,402,17,76,3,0
9,190,13528,7,409,339,19,,3,0
9,162,9226,8,,452,13,80,4,0
8,201,19214,8,351,451,4,75,4,0
5,198,16795,7,327,303,13,66,5,0
5,191,23425,7,,316,18,43,4,0
,203,24519,7,360,492,17,73,4,0
7,181,25672,7,311,298,13,28,4,0
8,200,29382,7,,456,15,70,5,0
10,212,21709,7,,395,22,63,3,0
5,189,23830,8,325,402,14,,5,0
,206,29744,8,,430,21,82,4,0
5,195,23051,7,246,474,12,50,4,0
9,231,30469,8,338,540,16,58,5,0
8,205,8403,6,418,311,13,67,4,0
8,184,9812,8,400,540,12,90,5,0
8,203,35801,8,313,425,18,96,4,0
9,198,17404,8,337,415,15,64,3,0
8,214,21690,9,325,508,17,,5,0
6,210,33095,6,312,482,12,62,5,0
8,199,26559,8,352,492,10,66,3,0
9,181,10345,6,,397,18,54,4,0
8,208,12807,5,323,472,13,29,4,0
6,212,20709,6,279,525,17,75,5,0
7,221,20770,8,308,327,12,63,5,0
10,200,8645,10,443,474,14,64,4,0
,182,17423,7,,496,12,86,4,0
4,214,33432,6,308,466,18,50,4,0
7,201,13921,8,,561,14,74,4,0
7,158,12257,7,372,382,14,78,3,0
7,182,24317,7,341,480,20,54,4,0
7,183,16916,7,,364,10,42,3,0
7,214,16388,8,358,373,15,32,5,0
,182,17869,10,362,359,20,49,4,0
8,197,10763,8,385,406,16,75,3,0
8,182,18132,7,336,570,15,63,3,0
9,162,3802,6,,338,19,84,3,0
5,215,21035,9,,471,13,58,5,0
8,176,11698,8,377,383,13,57,3,0
7,194,16733,8,350,505,20,82,4,0
8,177,8451,6,336,362,14,51,4,0
8,169,13182,6,298,294,12,79,4,0
,200,25305,6,329,288,14,34,4,0
7,218,24502,6,,426,12,50,2,0
6,184,11620,6,344,363,17,73,3,0
8,185,29985,8,,490,18,74,4,0
7,208,22671,6,296,297,17,71,5,0
7,196,19534,7,298,418,17,69,3,0
5,173,11178,6,343,390,14,65,4,0
,213,20627,8,319,338,8,77,3,0
,216,36776,7,294,490,11,,5,0
6,179,16950,8,370,389,11,75,3,0
7,146,13468,6,290,413,14,82,4,0
7,209,20488,7,333,525,21,60,3,0
10,200,11279,7,433,462,17,63,4,0
6,181,15135,6,294,392,12,62,5,0
,196,10540,6,359,401,14,46,4,0
7,166,6068,6,373,443,11,64,4,0
,227,45167,8,280,472,17,73,3,0
6,198,19505,8,,436,13,,2,0
5,195,17280,7,336,447,5,73,4,0
3,185,22690,8,309,398,10,56,5,0
11,237,14036,9,,565,17,,3,0
9,214,18863,9,324,396,20,97,5,0
10,242,18588,9,,304,14,75,5,0
8,192,19809,7,378,504,14,60,4,0
8,198,25205,7,331,491,15,90,2,0
8,188,19903,5,,331,15,58,4,0
8,203,16854,7,340,399,19,59,4,0
,218,11371,7,393,285,16,,3,0
5,193,21716,5,,553,13,87,4,0
8,162,10495,8,424,487,16,70,4,0
7,184,14464,7,371,498,15,73,3,0
6,220,40010,7,,493,12,49,4,0
7,203,15825,7,,349,11,91,4,0
7,229,45940,10,378,392,14,67,4,0
8,180,17253,6,,576,15,59,4,0
4,168,22207,6,,345,15,35,4,0
5,196,24001,6,335,512,19,68,6,0
7,207,24037,8,357,552,9,89,5,0
7,178,16516,6,309,543,13,61,5,0
6,176,11583,7,,430,16,87,3,0
7,197,34702,6,261,390,18,91,4,0
5,184,26744,7,332,460,18,72,4,0
8,217,36343,9,376,394,17,78,4,0
6,159,16298,6,,525,11,79,5,0
6,220,21051,9,348,353,20,49,5,0
6,204,37174,8,329,467,14,97,4,0
6,213,27860,7,286,525,13,100,4,0
7,192,22296,7,,326,12,,4,0
5,200,37200,7,312,573,17,75,3,0
,191,9627,6,353,271,13,92,5,0
7,216,28263,6,,418,17,56,4,0
7,207,22523,8,343,503,12,84,4,1
5,232,25107,7,,473,11,81,4,1
7,222,16351,8,353,420,9,67,5,1
,246,6974,10,418,356,13,68,4,1
6,151,13594,6,402,392,20,44,5,1
6,246,31370,6,,527,11,62,4,1
8,178,20243,7,,364,12,58,3,1
8,126,35382,5,,463,7,99,3,1
7,200,32595,8,325,489,12,46,4,1
,239,15427,9,392,365,14,71,3,1
7,307,28508,7,293,306,9,61,3,1
7,204,8525,9,430,329,11,89,4,1
9,196,11610,8,333,515,12,87,2,1
7,149,23688,7,339,260,17,56,4,1
5,194,21776,6,359,354,14,34,5,1
7,162,39624,5,301,507,17,,5,1
8,154,11599,8,,298,13,74,3,1
9,219,16560,9,355,545,7,73,5,1
,185,18113,8,382,530,19,71,3,1
7,219,16078,8,356,283,17,65,3,1
7,173,16617,6,329,337,12,60,4,1
6,213,24260,7,,343,12,68,3,1
10,197,37215,7,248,523,6,78,3,1
6,272,26955,7,297,444,17,73,3,1
6,226,22807,7,,329,13,51,3,1
,190,15255,8,366,418,13,69,4,1
8,192,19790,8,340,378,19,59,4,1
6,162,22337,7,380,337,12,66,4,1
8,185,26846,8,327,389,11,53,4,1
7,164,13777,6,,315,12,61,4,1
6,161,21112,4,301,385,9,71,4,1
6,159,21217,5,317,305,17,62,3,1
7,223,20287,5,282,377,14,68,2,1
6,219,18665,7,312,503,15,94,4,1
6,141,20666,7,,429,8,67,3,1
7,160,14884,9,411,404,17,51,3,1
9,158,31599,7,,464,12,94,4,1
7,177,21858,5,,310,14,53,4,1
7,225,6875,10,429,387,16,59,4,1
,211,13671,9,418,352,10,45,3,1
,215,21093,7,291,539,15,62,4,1
6,214,10815,8,,626,17,60,4,1
8,231,32899,7,281,365,17,70,4,1
7,259,35456,5,206,319,14,66,4,1
8,210,9584,9,371,326,12,87,6,1
7,109,34298,5,318,325,19,,3,1
8,175,15737,8,,303,17,91,2,1
7,143,46719,5,252,447,13,61,3,1
7,182,25661,7,352,420,12,71,4,1
,184,23727,5,278,383,10,76,4,1
,195,38119,7,333,437,14,60,3,1
7,200,37033,5,281,377,12,58,3,1
6,263,17150,9,380,515,21,77,4,1
7,218,17180,9,393,349,14,57,2,1
7,202,26551,7,313,306,18,67,4,1
,287,41325,6,,376,14,98,4,1
6,106,15570,7,442,380,5,49,4,1
7,203,1372,11,476,361,17,55,3,1
7,197,44184,5,260,324,8,69,5,1
7,148,21227,7,387,421,14,51,5,1
8,184,29340,6,260,427,14,92,5,1
7,202,11849,8,,487,16,62,4,1
6,97,19743,3,305,503,15,87,5,1
7,230,24682,7,324,349,9,51,4,1
7,207,15229,6,321,523,13,86,4,1
8,156,27193,6,,357,8,69,3,1
7,169,36506,6,299,474,14,72,4,1
6,204,15598,8,361,453,15,71,4,1
7,193,36270,5,277,320,15,81,3,1
8,172,28339,6,319,497,16,91,4,1
8,208,28235,8,297,445,13,79,5,1
,167,24038,7,350,411,9,95,4,1
8,205,12733,8,331,450,16,55,5,1
8,182,15806,7,,292,13,77,4,1
9,216,56489,3,129,542,9,71,4,1
7,247,15428,8,306,516,18,92,4,1
,158,45243,4,247,400,16,54,4,1
8,225,31750,6,,504,19,78,4,1
8,129,20466,7,,591,15,64,5,1
7,237,24170,9,350,477,17,93,4,1
6,215,35776,7,308,365,8,78,4,1
6,170,22550,5,297,460,21,93,4,1
,191,18589,7,362,471,14,90,4,1
,196,4142,10,462,435,16,,4,1
6,284,28315,7,318,426,12,68,5,1
6,231,29778,4,248,489,13,54,3,1
8,122,16979,7,354,368,13,69,3,1
,187,24635,9,,444,11,74,3,1
9,199,25100,7,,454,15,83,3,1
6,219,22456,8,386,401,17,31,4,1
7,185,24413,7,,310,15,,4,1
8,198,9408,10,400,271,11,53,5,1
6,229,39172,6,,330,11,59,5,1
6,185,15941,8,421,315,20,84,5,1
8,181,24713,6,288,435,9,85,3,1
,264,16671,8,,428,17,78,4,1
7,168,30898,5,,437,16,62,5,1
8,213,11246,8,377,342,16,67,5,1
7,231,22586,6,,497,16,91,5,1
6,180,12683,8,424,415,12,84,3,1
6,198,22207,7,,465,14,61,4,1
6,187,28703,6,338,430,18,69,5,1
10,191,9077,10,357,443,13,63,4,1
8,225,19497,7,290,434,15,75,4,1
7,193,16007,6,314,316,18,85,5,1
8,164,13355,7,,366,17,,5,1
8,156,24042,8,338,418,13,67,4,1
7,215,28980,7,312,426,18,55,4,1
7,217,13099,6,,344,15,66,5,1
7,249,26136,8,335,404,11,75,5,1
8,179,12478,10,421,472,8,66,3,1
8,175,29566,7,,323,11,70,5,1
6,186,26694,6,333,313,12,33,4,1
8,173,8836,10,436,306,11,92,4,1
9,203,24578,7,289,337,17,69,3,1
7,201,27652,7,322,454,11,92,6,1
9,158,33093,7,306,378,13,43,4,1
7,219,23308,7,355,585,11,41,4,1
,229,32162,7,314,310,19,54,6,1
8,274,40547,7,241,418,10,79,4,1
7,156,16256,8,381,592,12,60,3,1
7,161,32528,5,292,440,10,62,5,1
,163,32866,6,317,280,11,82,4,1
6,249,14778,6,336,518,16,67,4,1
7,135,22185,7,358,480,11,55,4,1
7,151,4168,11,477,356,15,75,3,1
6,183,11592,9,408,385,16,83,3,1
,191,39803,5,288,365,14,92,5,1
7,195,35559,6,300,395,12,70,4,1
6,165,24247,8,373,368,13,97,4,1
8,167,17618,7,323,277,12,61,3,1
,192,18964,8,319,354,15,84,5,1
7,211,10795,8,374,406,19,,3,1
7,154,31145,5,261,451,11,,3,1
7,184,10835,7,379,430,14,101,5,1
7,175,12654,8,,572,13,61,3,1
7,205,25058,7,328,313,17,73,4,1
7,214,15007,7,329,469,17,104,5,1
,179,16590,8,318,328,16,,3,1
7,205,35229,5,255,360,14,,5,1
7,198,20122,7,353,473,11,65,4,1
8,191,16655,8,351,418,12,49,3,1
7,214,27378,7,328,458,18,,3,1
7,272,14349,10,369,611,9,91,3,1
7,175,35701,5,290,401,10,66,5,1
7,203,40148,6,257,402,9,53,4,1
7,226,16982,7,318,484,19,80,3,1
7,174,33246,7,326,480,16,60,5,1
7,178,16980,7,370,299,19,63,4,1
6,140,18058,8,418,347,13,58,4,1
7,192,16473,8,368,463,13,18,4,1
8,258,26999,7,267,352,15,59,5,1
,163,36526,6,285,523,14,79,5,1
7,199,6874,9,,440,11,61,4,1
6,227,12989,8,392,306,7,41,4,1
,159,8721,8,426,471,15,75,3,1
7,233,27882,8,337,443,15,64,4,1
,156,26886,5,292,554,14,53,5,1
,186,7557,9,406,288,13,72,4,1
7,218,22541,7,305,383,19,54,4,1
7,151,31130,5,,352,19,53,3,0
7,229,10837,8,362,513,13,41,4,0
,155,42617,6,449,456,21,77,3,0
7,268,15818,11,,542,13,55,5,0
8,224,23264,6,300,388,13,43,2,0
,230,19956,8,285,492,11,85,3,0
6,249,15392,8,273,488,10,70,4,0
7,209,13822,8,335,499,19,81,4,0
,214,28267,4,,484,16,79,4,0
7,98,36490,7,423,503,7,76,5,0
8,116,22466,5,,408,7,91,4,0
7,164,17625,6,373,493,12,49,4,0
6,236,18983,8,,511,16,78,3,0
7,192,15176,6,,471,15,57,4,0
6,206,30379,9,312,512,6,55,4,0
7,189,21391,7,357,390,14,81,4,0
6,223,14553,10,235,253,12,60,4,0
5,197,12883,9,347,355,13,67,4,0
6,217,12559,9,318,409,11,31,3,0
8,146,17981,7,359,420,16,101,4,0
8,123,33844,5,391,463,19,83,4,0
7,209,20149,6,288,291,12,57,3,0
6,227,20280,8,226,276,10,53,4,0
,204,32951,6,325,340,4,71,5,0
6,214,14620,7,316,371,12,84,4,0
7,223,19933,6,318,590,14,89,4,0
,214,21671,8,,473,16,73,4,0
7,238,16863,7,306,479,13,93,5,0
10,145,39716,5,391,415,18,,4,0
6,274,6968,10,248,321,12,39,3,0
,172,38971,8,386,397,17,74,3,0
6,152,15092,7,382,388,17,69,4,0
,137,20594,4,394,520,19,50,3,0
8,251,15741,8,,391,17,59,4,0
6,178,18966,10,,401,13,61,5,0
,193,20894,7,359,417,17,38,4,0
,167,14807,7,270,536,14,78,3,0
7,167,30210,10,340,430,23,73,4,0
6,157,21080,7,319,351,14,64,5,0
7,238,12829,7,331,452,20,73,4,0
5,198,9969,8,,504,17,77,4,0
7,221,25481,7,,439,13,58,2,0
7,148,20922,5,,400,18,40,2,0
8,239,28545,5,,574,18,56,4,0
5,238,16263,8,256,394,12,27,3,0
7,252,11086,10,286,369,17,44,3,0
7,184,31660,5,,559,14,56,3,0
8,174,26849,6,338,348,14,76,3,0
8,223,18135,9,314,453,12,79,3,0
8,214,17598,8,,384,5,71,3,0
8,210,21886,10,,338,9,64,4,0
8,169,38356,6,297,526,16,75,5,0
6,155,23050,7,291,421,14,66,3,0
7,156,19283,5,400,391,18,64,4,0
,241,25696,6,334,386,15,34,4,0
6,166,20482,8,354,422,15,46,3,0
7,205,26116,5,358,403,8,64,5,0
6,165,17539,8,345,431,15,47,3,0
8,160,29478,2,324,371,19,54,4,0
5,268,11870,9,,417,15,23,5,0
8,221,29432,6,323,445,13,78,4,0
6,228,10216,6,307,441,17,65,5,0
4,121,34370,8,412,437,14,65,4,0
9,255,31057,4,,427,14,34,5,0
8,182,13656,7,338,328,15,92,5,0
6,221,8730,8,300,413,6,81,3,0
9,179,18504,7,356,330,15,84,3,0
8,188,32211,5,321,400,20,47,4,0
6,137,28106,7,390,424,15,69,5,0
8,202,11862,7,300,421,7,91,3,0
4,191,12771,8,285,500,14,76,4,0
7,210,14794,8,,554,8,78,3,0
6,187,19791,7,,490,20,65,4,0
9,176,23173,7,367,552,8,91,4,0
,171,39208,5,354,382,20,97,3,0
,194,19671,8,343,323,19,78,3,0
7,246,27110,10,341,340,16,78,3,0
8,155,36578,8,405,537,16,78,4,0
7,176,16664,8,,355,11,37,4,0
9,188,22140,4,376,439,9,93,5,0
6,222,11124,9,315,326,19,84,3,0
6,202,27683,6,316,573,15,,5,0
8,205,30824,8,354,395,12,64,3,0
6,241,15766,10,339,407,21,63,4,0
8,188,32869,7,365,327,14,73,3,0
,279,11380,9,314,468,11,69,3,0
7,166,18970,8,,511,16,47,5,0
7,258,18535,5,340,355,15,73,4,0
7,169,20519,10,,458,10,57,3,0
5,239,10315,8,282,496,13,87,2,0
6,175,22199,8,,479,14,51,5,0
6,162,26764,6,,486,19,82,5,0
7,197,30235,6,308,454,16,32,5,0
,190,16737,7,,410,15,60,3,0
4,192,17328,8,306,406,10,45,5,0
6,245,13859,9,,404,13,59,4,0
6,220,19346,6,264,497,16,46,5,0
9,208,17915,5,335,381,14,48,4,0
7,195,28768,5,350,495,14,77,5,0
9,184,24967,6,335,486,8,64,4,0
9,216,30268,6,331,436,12,56,2,0
7,177,34727,5,288,332,10,77,3,0
,185,14368,8,335,472,16,74,5,0
9,107,27623,6,460,445,14,78,5,0
7,219,21962,7,349,341,15,69,4,0
,204,14665,9,360,360,15,59,4,0
,161,49125,6,410,328,14,65,3,0
6,276,21229,9,,354,12,92,5,0
7,167,28264,7,319,532,21,78,5,0
,158,21716,5,,479,19,80,4,0
7,181,33267,8,373,485,15,53,5,0
,238,21863,9,318,434,12,60,4,0
8,173,18329,7,351,377,11,69,4,0
8,215,20576,6,312,514,18,70,5,0
5,234,11747,7,315,407,14,36,4,0
,191,23172,7,291,365,13,69,4,0
6,181,28166,7,371,370,17,,3,0
8,259,20912,6,289,421,10,72,5,0
7,243,20186,6,306,414,10,65,4,0
8,178,18677,6,368,356,19,61,3,0
6,244,12279,7,,489,18,,4,0
,208,22444,5,338,541,10,85,4,0
8,191,29298,6,357,279,13,66,3,0
,150,20284,10,383,355,17,54,2,0
,221,26493,5,,389,21,70,5,0
9,124,33681,5,427,530,20,50,5,0
8,121,40710,6,445,339,13,59,5,0
6,270,8572,10,286,491,13,22,5,0
7,219,20216,7,307,431,17,56,5,0
10,132,24388,4,,429,18,65,5,0
7,198,33821,7,353,321,19,85,4,0
5,273,15497,7,267,570,17,80,3,0
10,157,33954,5,,485,11,,5,0
9,128,32018,6,458,554,16,87,4,0
7,202,21710,6,352,417,20,49,4,0
6,171,10925,8,306,509,12,63,4,0
9,168,34865,3,401,385,17,51,4,0
8,277,24244,8,273,307,12,70,3,0
8,190,32911,6,368,398,15,,4,0
6,209,10120,9,,411,8,101,4,0
8,191,20507,5,,446,9,57,5,0
8,210,25433,8,385,322,11,85,4,0
8,211,12862,9,348,599,11,91,5,0
,149,27688,9,285,289,16,63,4,0
9,168,50279,6,415,400,12,62,3,0
6,177,28634,8,,387,16,31,3,0
6,171,24978,8,324,406,11,66,4,0
9,185,21634,7,394,339,7,,4,0
7,167,31936,8,,399,15,69,4,0
,260,11950,9,279,469,12,74,3,0
7,276,9481,8,296,383,18,94,2,0
7,166,17783,5,308,371,15,97,4,0
,230,14917,10,,379,28,80,4,0
9,172,19113,7,404,400,18,77,3,0
9,150,32568,5,,436,14,72,5,0
,169,21030,6,404,441,12,72,5,0
7,225,5098,6,362,295,6,81,4,0
6,156,25938,8,298,533,14,68,5,0
6,237,7656,10,214,356,14,55,3,0
,163,24917,6,388,494,14,85,4,0
7,177,24786,9,369,388,14,49,3,0
7,184,21044,7,327,379,8,90,5,0
,254,13568,9,256,555,14,98,3,0
7,138,19175,7,,491,16,,3,0
7,157,35794,7,385,399,18,72,4,0
8,195,13830,6,,322,19,,4,0
8,174,27278,7,354,330,16,,5,0
6,221,22419,7,284,351,20,62,5,0
,166,22900,6,379,474,13,63,4,0
7,216,17964,8,346,466,11,41,4,0
7,233,9810,8,302,458,13,65,3,0
,247,18940,7,305,419,13,60,4,0
6,197,12642,9,287,345,17,58,4,0
8,183,19714,9,382,489,9,58,4,0
6,148,22917,5,,475,10,62,4,0
8,117,45041,5,,368,13,87,2,0
7,185,26263,7,289,410,13,84,4,0
6,228,22195,9,,351,13,63,4,0
7,195,18270,6,345,403,15,77,5,0
6,212,30192,8,329,431,11,,5,0
7,205,20511,6,313,456,16,52,4,0
5,187,18656,7,,380,18,59,4,0
6,167,21320,8,311,341,14,95,6,0
8,182,19131,7,340,433,11,76,4,0
7,200,30863,6,392,422,9,48,5,0
9,218,39031,7,374,341,19,54,3,0
6,276,8608,8,272,384,16,54,4,0
7,174,20186,9,384,310,23,81,4,0
8,218,28722,6,310,472,11,50,4,0
8,114,37279,6,378,285,17,49,4,0
5,259,10168,10,249,397,16,66,4,0
7,137,24282,6,434,343,9,88,6,0
,234,32497,7,348,425,13,56,4,0
7,238,13681,9,284,479,17,74,4,0
7,150,16203,6,376,350,12,75,5,0
7,245,22278,8,369,477,12,61,4,0
9,133,41983,7,417,268,10,75,4,0
,216,26964,6,418,573,20,50,5,0
,251,30798,6,,339,18,75,3,0
6,250,12682,6,263,275,14,58,4,0
,241,11429,6,268,323,9,89,4,0
8,152,25275,7,352,528,16,52,3,0
9,160,19608,4,417,428,15,96,3,0
8,193,19019,8,378,597,9,46,4,0
9,253,13150,7,,369,14,51,3,0
8,202,21857,5,320,465,16,62,4,0
8,168,30969,5,,302,15,41,3,0
,207,11963,8,326,502,17,64,3,0
7,151,23781,9,404,465,17,78,4,0
9,236,20862,8,379,419,14,,4,0
8,258,17398,8,251,440,10,54,3,0
4,178,21937,7,299,447,12,63,5,0
,164,25237,4,351,414,15,46,4,0
4,161,14434,8,311,414,21,78,4,0
6,241,22168,6,,487,13,65,5,0
8,186,24455,6,,394,15,75,4,0
7,232,16621,6,,476,9,36,4,0
,203,11900,9,368,380,14,59,3,0
,115,46077,5,438,422,11,54,4,0
7,117,28358,5,415,472,18,76,4,0
4,236,26843,5,208,457,16,74,4,0
,207,25110,6,346,420,22,92,3,0
,162,28791,8,378,364,14,99,4,0
6,125,31115,6,,397,18,73,4,0
,234,17318,9,265,312,11,109,4,0
9,216,27109,7,,384,16,79,4,0
7,186,14683,10,341,561,22,64,3,0
,170,25541,5,393,360,17,60,4,0
7,111,32981,3,368,417,12,33,5,0
7,176,38368,7,278,291,19,81,6,0
7,218,24481,6,311,476,11,49,4,0
8,218,23046,7,350,414,15,73,4,0
6,152,20562,8,384,364,14,97,5,0
7,169,17540,6,387,372,15,74,3,0
6,215,29426,8,370,320,10,65,3,0
,240,38097,5,,360,14,73,3,0
8,180,22023,5,339,397,14,110,3,0
,205,12190,7,313,375,12,48,5,0
6,201,17397,7,279,380,11,32,4,0
9,216,17733,8,377,302,16,64,4,0
,188,13427,7,,508,18,79,5,0
7,164,14015,6,282,390,15,44,3,0
9,216,36622,4,,383,19,80,4,0
7,227,9163,6,,417,10,67,4,0
7,173,25399,7,355,299,14,,3,0
6,167,14548,8,,348,11,75,5,0
4,192,24601,8,261,476,11,54,5,0
10,188,26403,4,396,325,17,91,3,0
9,174,20333,6,440,460,16,90,5,0
6,172,30575,9,394,427,16,75,3,0
9,275,21880,5,365,581,14,62,3,1
,173,18319,8,283,408,20,79,4,1
7,186,39431,9,286,356,8,40,1,1
8,244,29568,9,,278,10,108,5,1
7,199,22506,8,,531,15,58,4,1
8,212,37087,8,251,513,19,73,3,1
7,230,12575,8,390,558,16,36,4,1
6,134,31062,7,252,381,17,71,4,1
6,139,6698,4,,602,13,68,4,1
7,215,20509,9,321,307,12,80,5,1
8,211,18857,6,376,376,15,43,5,1
8,201,39431,8,276,433,18,70,4,1
6,184,20526,8,366,549,13,69,5,1
8,239,27849,6,356,484,19,50,4,1
7,180,12878,6,,359,16,66,4,1
7,184,13401,6,372,433,15,66,5,1
7,196,13901,6,387,311,12,52,6,1
7,236,18998,7,360,357,18,58,3,1
,134,8077,5,,600,9,100,3,1
7,198,16904,6,300,471,15,61,4,1
5,149,11130,7,336,486,14,61,4,1
7,197,15349,7,,374,11,79,5,1
8,206,34250,8,299,347,19,81,5,1
7,229,29691,8,322,393,15,84,3,1
7,182,21671,6,326,397,17,74,3,1
7,187,26376,8,338,489,18,77,5,1
8,255,30855,9,,442,11,93,5,1
7,171,20465,7,366,401,14,52,4,1
6,158,7965,7,263,378,17,69,4,1
8,242,29317,6,314,329,18,85,4,1
7,224,13505,6,,480,16,73,4,1
7,234,31617,9,332,490,12,32,4,1
8,225,16515,5,,417,12,92,3,1
7,215,27150,8,383,404,15,57,5,1
8,224,17896,9,,472,14,75,4,1
6,192,19310,7,,530,16,63,6,1
7,179,39485,9,281,520,11,76,3,1
,180,25703,7,,311,10,42,2,1
7,204,18609,7,318,339,16,95,3,1
7,209,15489,7,351,409,14,70,5,1
8,218,31151,8,,595,12,77,4,1
7,178,25420,7,316,388,12,73,3,1
7,212,25645,8,353,435,9,76,3,1
7,192,25039,7,396,502,15,80,4,1
7,185,16965,6,351,434,12,77,5,1
,170,37273,8,241,455,19,64,4,1
,166,11567,8,,369,7,67,4,1
6,160,17095,7,305,424,14,41,4,1
7,210,13812,8,342,490,15,69,3,1
7,181,20431,7,,437,10,69,3,1
7,198,28232,9,290,424,18,32,3,1
8,189,15456,5,323,523,16,57,5,1
7,172,20853,8,282,359,13,84,5,1
8,241,23641,7,319,410,13,57,4,1
6,151,20596,7,,432,13,64,4,1
7,197,36967,9,294,530,14,86,3,1
7,215,18059,7,,374,12,78,3,1
5,160,5128,8,358,345,14,34,4,1
8,235,15361,6,377,614,14,49,5,1
7,180,35001,9,,361,14,73,3,1
,178,20326,6,354,280,14,45,4,1
7,177,22887,6,315,508,15,36,5,1
6,167,24856,9,287,479,11,66,4,1
6,150,15751,8,318,605,15,83,5,1
,167,21190,7,286,411,15,76,3,1
9,225,49010,6,297,446,16,84,5,1
8,217,35056,8,307,447,11,37,5,1
6,155,27310,8,,437,13,,4,1
7,198,32681,9,283,532,20,82,5,1
7,166,22475,9,318,527,13,56,3,1
8,231,19955,5,349,386,15,63,5,1
,205,22613,6,267,313,12,28,4,1
6,164,26594,7,338,607,15,113,5,1
6,176,17177,10,308,403,15,74,4,1
8,246,33348,8,346,446,11,98,3,1
7,198,21044,7,337,642,16,64,4,1
7,186,13979,7,375,463,17,75,4,1
,142,21209,10,,430,16,59,3,1
8,212,14319,6,363,451,18,,4,1
7,234,15547,8,364,393,15,65,3,1
7,188,20157,7,,390,12,85,4,1
6,185,18506,7,357,367,16,77,4,1
6,139,11006,5,339,446,11,90,3,1
8,197,22899,8,295,358,13,72,3,1
7,194,7413,6,355,361,12,57,4,1
7,224,17196,7,374,345,15,60,5,1
,203,20106,9,351,346,12,63,5,1
7,206,25795,8,321,485,16,49,5,1
7,207,21823,6,,388,18,55,4,1
7,148,37309,6,279,396,13,64,4,1
8,216,38895,8,342,349,6,66,5,1
,210,20214,6,324,539,20,73,4,1
7,128,30570,4,282,348,15,58,3,1
,200,12635,8,333,294,13,55,4,1
8,190,47023,8,287,568,15,71,4,1
6,188,27577,9,323,277,13,59,4,1
7,161,22558,5,339,417,16,53,5,1
7,154,15525,6,343,598,17,56,3,1
,205,25681,8,319,312,20,69,4,1
8,278,29045,8,335,385,17,64,4,1
8,251,21689,6,395,356,14,68,4,1
7,182,13706,6,301,425,18,74,5,1
,130,8907,7,328,525,18,32,4,1
8,231,35056,8,364,306,18,72,5,1
8,224,20260,7,351,510,14,73,5,1
,210,20117,7,370,339,11,51,4,1
8,211,19873,7,,449,7,56,3,1
7,217,19412,7,,302,19,68,4,1
8,211,34359,8,366,448,19,60,4,1
8,229,21995,8,320,399,18,41,4,1
7,195,34566,8,295,350,19,80,3,1
7,165,30660,9,273,534,11,84,4,1
7,221,19746,7,372,536,15,68,5,1
8,226,19487,6,356,472,12,55,4,1
7,237,21736,7,407,299,21,68,4,1
,201,12700,8,395,464,15,64,4,1
7,215,12330,7,390,465,22,25,3,1
6,181,17503,6,368,412,12,,5,1
6,172,8087,7,330,443,11,96,4,1
7,189,14052,6,,338,18,67,4,1
9,236,40684,7,304,278,15,73,4,1
7,232,29170,8,375,389,14,40,4,1
9,282,47853,8,315,422,10,64,3,1
,193,32349,9,272,582,14,64,4,1
7,146,25070,6,285,370,9,,5,1
7,224,15147,8,389,437,12,52,4,1
7,200,19073,6,337,413,12,57,4,1
8,217,38184,7,312,281,13,79,4,1
,237,35434,8,381,365,13,33,4,1
6,151,20155,8,275,478,18,99,4,1
,213,25626,9,339,330,11,64,4,1
,161,25583,7,,467,14,52,5,1
6,177,20321,6,373,375,12,62,4,1
7,202,25888,9,328,519,18,90,5,1
8,225,27402,7,343,316,14,32,5,1
7,230,12603,6,351,371,19,80,4,1
7,198,16649,7,349,472,17,60,3,1
7,177,32041,8,,467,11,48,4,1
8,203,21403,8,333,424,17,48,4,1
